Category,parent_id,parent_label
HERB,7,Food_Nutrition
HERBAL_SUPPLEMENT,7,Food_Nutrition
HIP_FLASK,10,Office_Stationery
HOBBIES,13,Tools_Hardware
HOLE_PUNCH,10,Office_Stationery
HOME,3,Home_Textiles
HOME_BED_AND_BATH,3,Home_Textiles
HOME_FURNITURE_AND_DECOR,14,Home_Decor
HOME_LIGHTING_ACCESSORY,9,Home_Electrical
HOME_LIGHTING_AND_LAMPS,9,Home_Electrical
HOME_MIRROR,14,Home_Decor
HOME_ORGANIZERS_AND_STORAGE,14,Home_Decor
HOME_THEATER_SYSTEM_OR_HTIB,4,Consumer_Electronics
HONEY,7,Food_Nutrition
HOOKAH,8,Books_Media
HOOK_LOOP_FASTENER,13,Tools_Hardware
HOPPING_TOY,5,Toys_Games
HOSE_PIPE_FITTING,2,Industrial_Auto
